USA-COO,USA-SEA,USA-POR
USA-BOI,USA-BIR
USA-DAL
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-DEN
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-CHI
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-HOU,USA-PHI
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-MIW,USA-JAF,USA-NEO,USA-KAN,USA-OKL
USA-ATL
USA-LAX,USA-SAN
USA-DET,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-LIN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-ORL
