USA-SEA,USA-LAX
USA-DEN
USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-REN,USA-LIT,USA-LEK
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-COO,USA-OKL
USA-ATL
USA-CHI
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-ANC,USA-ABU,USA-VIR
USA-DET,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-NYM,USA-PHI,USA-SLT,USA-ORL
USA-MIW,USA-NEO,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-LIN
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-DAL
USA-BOI,USA-POR
