USA-HOU,USA-PHI,USA-ATL
USA-ORL
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-LAX,USA-SAN,USA-NAS
USA-BOI,USA-POR
USA-SFO,USA-JAF,USA-TLS,USA-KAN,USA-OKL,USA-OMA
USA-PIT
USA-NYM,USA-DET,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-MIN,USA-STL,USA-TPA,USA-CUO,USA-CLE
USA-NEO,USA-WAS,USA-CIN,USA-IDO,USA-SLT
USA-COO,USA-SEA,USA-SAT
USA-DAL
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-CHI
USA-PHX
USA-ANC,USA-ABU,USA-REN,USA-VIR
