USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-HON,USA-BOI,USA-ANC
USA-ATL
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-MIW,USA-JAF,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-ORL
USA-JCS,USA-IOW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIN
USA-DEN
USA-HOU,USA-PHI
USA-DAL
USA-NYM,USA-DET
USA-COO,USA-SEA,USA-POR
USA-NEO,USA-OKL,USA-SLT
USA-CHI
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-BOS
