USA-MIN,USA-PIT
USA-ATL
USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-COO,USA-OKL
USA-DEN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-DET
USA-CHI
USA-BOI,USA-ANC
USA-MIW,USA-NEO,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-DAL
USA-BOS
USA-ORL
USA-SFO,USA-KAN,USA-SEA,USA-LAX,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
