USA-DAL
USA-ORL
USA-NYM,USA-DET,USA-BOS
USA-STL,USA-RAL,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-SAN
USA-HOU,USA-PHI
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-BOI,USA-BIR
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-PHX
USA-ANC
USA-ATL
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-MIW,USA-NEO,USA-IDO,USA-OKL
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-CIN,USA-TPA
USA-COO,USA-SEA,USA-POR
USA-DEN,USA-SAT,USA-SLT
USA-CHI
