USA-PHX,USA-AUT
USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-HOU,USA-PHI,USA-SAN
USA-DEN,USA-CUO,USA-CLE
USA-COO,USA-SEA,USA-SAT,USA-LAX
USA-DAL
USA-MIW,USA-NEO,USA-IDO,USA-OKL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-ORL
USA-SFO,USA-MIN,USA-KAN,USA-STL,USA-CIN,USA-TPA
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-ATL
USA-BOS
USA-BOI,USA-ANC,USA-POR
USA-CHI
USA-DET
