USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-BOS
USA-DAL
USA-DET
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-MIW,USA-NEO,USA-OKL,USA-BIR
USA-LAX,USA-SAN
USA-BOI,USA-ANC,USA-POR
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-ORL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-PHX
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-HOU,USA-PHI,USA-ATL
USA-CHI
USA-DEN
USA-COO,USA-SEA,USA-SAT
