USA-PIT
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-LAX,USA-SAN
USA-CRS,USA-CTN,USA-NAS
USA-PHX,USA-AUT,USA-ORL
USA-DAL
USA-BOI,USA-ANC,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-NEO,USA-HOU,USA-PHI,USA-ATL
USA-SFO,USA-MIN,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-DEN
USA-RAL,USA-CUO,USA-CLE
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-DET,USA-BOS
USA-CHI
USA-COO,USA-SEA,USA-SAT,USA-OKL
