USA-ATL
USA-HOU,USA-PHI
USA-ORL
USA-CHI
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-DET,USA-BOS
USA-BOI,USA-ANC,USA-POR
USA-LAX,USA-SAN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-DEN,USA-PHX
USA-NEO,USA-NYM,USA-SLT
