USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-ORL
USA-PHX
USA-DEN
USA-CHI
USA-SFO,USA-MIN,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-DAL
USA-HON,USA-BOI,USA-ANC,USA-POR
USA-JCS,USA-IOW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIN
USA-DET,USA-BOS
USA-NEO,USA-ATL
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-HOU,USA-PHI
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-PIT
USA-MIW,USA-JAF,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
