USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CHI
USA-COO,USA-SEA,USA-POR
USA-MIN,USA-PIT
USA-CRS,USA-CTN,USA-NAS
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-NEO,USA-NYM,USA-PHI,USA-SLT
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-ATL
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-OKL,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-DAL
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-ORL
USA-BOI,USA-BIR
USA-DET,USA-BOS
USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE
USA-SFO,USA-KAN,USA-DEN,USA-WAS
