USA-BOI,USA-ANC
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-NEO,USA-OKL,USA-SLT,USA-BOS
USA-DEN
USA-COO,USA-SEA,USA-POR
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-NYM,USA-DET,USA-DAL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-ORL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-CHI
USA-PHX
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-HOU,USA-PHI
USA-ATL
