USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-LAX,USA-SAN
USA-SFO,USA-KAN,USA-COO,USA-SEA,USA-OKL,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-DEN
USA-MIN,USA-PIT,USA-NEO,USA-WAS,USA-NYM,USA-SLT
USA-DET,USA-BOS
USA-CHI
USA-ATL
USA-LIN
USA-HOU,USA-PHI
USA-ORL
USA-PHX
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-DAL
USA-BOI,USA-ANC
