USA-SEA,USA-SAT,USA-LAX
USA-HOU,USA-PHI,USA-SAN
USA-ATL
USA-BOI,USA-ANC,USA-POR
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-DEN
USA-PHX,USA-AUT,USA-ORL
USA-MIW,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-DAL
USA-COO,USA-OKL
USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-BOS
USA-DET
USA-NEO,USA-NYM,USA-SLT
