USA-JAF,USA-KAN
USA-ORL
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-BOI,USA-ANC
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-COO,USA-SEA,USA-POR
USA-PHX
USA-BOS
USA-OKL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-NEO,USA-NYM,USA-SLT
USA-DEN
USA-DAL
USA-HOU,USA-PHI,USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-CHI
USA-LAX,USA-SAN
USA-DET
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-LIN
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
