USA-CRS,USA-CTN
USA-JCS,USA-LIN
USA-LAX,USA-SAN
USA-HON,USA-IOW,USA-ANC
USA-MIW,USA-NEO,USA-RON,USA-NAS
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-DEN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-BOI,USA-BIR
USA-PHX,USA-AUT
USA-COO
USA-DAL
USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-SFO,USA-SEA,USA-POR
USA-ORL
USA-HOU,USA-PHI
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-DET,USA-BOS
USA-CHI
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-ATL
