USA-COO,USA-SEA,USA-POR
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-ATL
USA-HOU,USA-PHI,USA-SAN
USA-CHI
USA-LIN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-PIT
USA-ORL
USA-NEO,USA-OKL,USA-SLT
USA-BOS
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-DAL
USA-NYM,USA-DET
USA-BOI,USA-ANC
USA-STL,USA-LAX,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-PHX,USA-AUT
USA-DEN
USA-CRS,USA-CTN
