USA-BOS
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-HOU,USA-PHI
USA-DEN
USA-BOI,USA-BIR
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-ORL
USA-MIN,USA-PIT,USA-WAS
USA-LAX,USA-SAN
USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DAL
USA-DET
USA-COO,USA-OKL
USA-ATL
USA-PHX
USA-LIN
USA-NEO,USA-NYM,USA-SLT
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-SFO,USA-KAN,USA-SEA,USA-POR
