USA-ORL
USA-NEO,USA-NYM,USA-SLT
USA-BOI,USA-ANC,USA-POR
USA-DAL
USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-LAX,USA-SAN
USA-OKL
USA-COO
USA-DET
USA-BOS
USA-PHX
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DEN
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-HOU,USA-PHI
USA-ATL
USA-SEA,USA-SAT
