USA-ORL
USA-NYM,USA-DET
USA-NEO,USA-OKL,USA-SLT
USA-DAL
USA-LAX,USA-SAN
USA-HOU,USA-PHI
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-BOS
USA-ATL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-CHI
USA-COO,USA-SEA,USA-POR
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-LIN
USA-BOI,USA-ANC
USA-PHX
