USA-PHX
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-BOS
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOI,USA-ANC
USA-DAL
USA-NEO,USA-NYM,USA-SLT
USA-OKL
USA-JAF,USA-KAN
USA-DEN
USA-ORL
USA-LAX,USA-SAN
USA-ATL
USA-HOU,USA-PHI
USA-COO,USA-SEA,USA-POR
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-DET
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-LIN
