USA-BOI,USA-BIR
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-BOS
USA-ORL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-OMA,USA-LIT,USA-LEK
USA-SEA,USA-SAT,USA-LAX
USA-LIN
USA-JCS,USA-RAL,USA-VIR
USA-HOU,USA-PHI,USA-SAN
USA-DEN
USA-HON,USA-IOW,USA-ANC,USA-POR
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-AUT,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-CRS,USA-CTN
USA-ATL
USA-NYM,USA-DET
USA-COO
USA-PHX
USA-CHI
USA-MIW,USA-NEO,USA-OKL,USA-SLT
USA-DAL
