USA-HOU,USA-PHI
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-NYM,USA-SLT
USA-CHI
USA-PHX
USA-SFO,USA-KAN,USA-SEA,USA-POR
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-OKL
USA-DET
USA-ORL
USA-COO
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-MIN,USA-PIT,USA-WAS
USA-ATL
USA-BOS
USA-BOI,USA-ANC
USA-MIW,USA-NEO,USA-BIR
USA-LAX,USA-SAN
USA-DEN
USA-DAL
