USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-ORL
USA-PIT,USA-WAS,USA-SLT
USA-DEN
USA-DET
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DAL
USA-SFO,USA-SEA,USA-LAX,USA-POR,USA-SAN
USA-ATL
USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-OKL
USA-KAN,USA-COO
USA-HOU,USA-PHI
USA-MIW,USA-MIN,USA-NEO
USA-NYM
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-BOI,USA-ANC
USA-CHI
USA-PHX
