USA-HOU,USA-PHI
USA-PIT
USA-JCS,USA-LIN
USA-ATL
USA-BOI,USA-BIR
USA-DET
USA-LAX,USA-SAN
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-CHI
USA-SFO,USA-MIN,USA-WAS
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-COO,USA-SEA,USA-POR
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-HON,USA-IOW,USA-ANC
USA-PHX
USA-ORL
USA-NEO,USA-NYM,USA-SLT
USA-DAL
USA-DEN
USA-BOS
