USA-HON,USA-BOI
USA-JAF,USA-MIN,USA-PIT,USA-KAN
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-COO,USA-OKL
USA-ATL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-MIW,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-HOU,USA-WAS,USA-PHI
USA-LAX,USA-SAN
USA-NEO,USA-NYM,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DET
USA-PHX
USA-SFO,USA-SEA,USA-POR
USA-ORL
USA-DEN
USA-JCS,USA-IOW,USA-TLS,USA-DES,USA-OMA,USA-LIN
USA-CHI
USA-DAL
USA-BOS
