USA-CRS,USA-CTN
USA-SFO,USA-MIW,USA-MIN,USA-AUT,USA-RON,USA-NAS
USA-ORL
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-HOU,USA-WAS,USA-PHI
USA-NEO,USA-BIR,USA-SLT
USA-ATL
USA-COO,USA-SEA,USA-POR
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-CHI
USA-DAL
USA-PIT
USA-LIN
USA-LAX,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-PHX
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-NYM,USA-DET
USA-BOS
USA-BOI,USA-ANC
USA-DEN
