USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-ORL
USA-MIW,USA-NEO,USA-BIR
USA-SFO,USA-MIN,USA-NYM
USA-DEN
USA-CHI
USA-BOI,USA-ANC
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-DAL
USA-BOS
USA-LAX,USA-SAN
USA-HOU,USA-PHI
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-PIT,USA-WAS,USA-SLT
USA-DET
USA-ATL
USA-PHX
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-COO,USA-SEA,USA-POR
