USA-PHX,USA-AUT
USA-COO,USA-SEA,USA-POR
USA-JAF,USA-KAN,USA-OKL
USA-LIN
USA-SFO,USA-MIN,USA-WAS
USA-BOI,USA-ANC
USA-MIW,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-ATL
USA-DAL
USA-NEO,USA-NYM,USA-SLT
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-LAX,USA-SAN
USA-ORL
USA-PIT
USA-HOU,USA-PHI
USA-DEN
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-CHI
USA-DET,USA-BOS
