USA-ORL
USA-PIT
USA-DAL
USA-BOS
USA-PHX
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CHI
USA-ATL
USA-DET
USA-COO,USA-SEA,USA-POR
USA-HOU,USA-PHI
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-DEN
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-LAX,USA-SAN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-BOI,USA-ANC
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-MIW,USA-NEO,USA-BIR
