USA-BOI,USA-BIR
USA-DET
USA-DAL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-PIT
USA-HON,USA-IOW,USA-ANC,USA-POR
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-RON,USA-NAS
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-DEN
USA-ATL
USA-HOU,USA-PHI
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-PHX
USA-LAX,USA-SAN
USA-CHI
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-NEO,USA-NYM,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-BOS
USA-JCS,USA-LIN
USA-ORL
