USA-ATL
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-BOS
USA-CRS,USA-CTN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-DAL
USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-PHX,USA-AUT
USA-MIW,USA-KAN,USA-BIR,USA-RON,USA-NAS
USA-DEN
USA-DET
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-NYM
USA-BOI,USA-ANC,USA-POR
USA-CHI
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-HOU,USA-PHI
USA-ORL
USA-LIN
USA-NEO,USA-SLT
