USA-AUT,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-MIW,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-CRS,USA-CTN
USA-CHI
USA-PHX
USA-LAX,USA-SAN
USA-BOS
USA-JAF,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA
USA-DET
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-ORL
USA-DAL
USA-DEN
USA-PIT
USA-ATL
USA-BOI,USA-ANC,USA-POR
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-HOU,USA-PHI
USA-NEO,USA-NYM,USA-SLT
