USA-ORL
USA-NEO,USA-NYM,USA-SLT
USA-LIN
USA-BOI
USA-HOU,USA-PHI
USA-SFO,USA-DEN,USA-WAS
USA-COO,USA-SEA,USA-POR
USA-DET,USA-BOS
USA-PHX
USA-JCS,USA-HON,USA-IOW,USA-DES
USA-CHI
USA-JAF,USA-MIN,USA-KAN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-PIT
USA-ATL
USA-TLS,USA-SAT,USA-OKL,USA-OMA
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-MIW,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-DAL
