USA-LIN
USA-ORL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DAL
USA-SFO,USA-SEA,USA-POR
USA-ATL
USA-DET,USA-BOS
USA-MIW,USA-MIN,USA-NEO
USA-PHX
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-ANC
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOI,USA-BIR
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-HOU,USA-SAN,USA-CHI
USA-DEN
USA-COO
USA-PIT
USA-STL,USA-LAX,USA-CUO,USA-CLE
USA-WAS,USA-NYM,USA-PHI,USA-SLT
