USA-SFO,USA-MIN,USA-SEA,USA-POR
USA-BOS
USA-LAX,USA-SAN
USA-DAL
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-COO
USA-MIW,USA-NEO,USA-OKL
USA-PHX
USA-CHI
USA-NYM,USA-DET
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-BOI,USA-BIR
USA-PIT
USA-HOU,USA-PHI
USA-LIN
USA-ATL
USA-DEN,USA-WAS,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-ORL
