USA-SFO,USA-KAN,USA-SEA,USA-POR
USA-ORL
USA-BOS
USA-ATL
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-PHX,USA-AUT
USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-HON,USA-IOW,USA-LIN
USA-DET
USA-DAL
USA-JCS,USA-RAL
USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-CRS,USA-CTN
USA-MIW,USA-NEO,USA-BIR,USA-RON,USA-NAS
USA-CHI
USA-COO,USA-OKL
USA-LAX,USA-SAN
USA-DEN
USA-HOU,USA-PHI
USA-BOI,USA-ANC
