USA-ATL
USA-SEA,USA-SAT,USA-LAX
USA-PIT
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-BOI,USA-BIR
USA-ORL
USA-HOU,USA-PHI
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-DAL
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-COO
USA-PHX
USA-DET,USA-BOS
USA-POR,USA-SAN
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-LIN
USA-JAF,USA-KAN
USA-MIW,USA-NEO,USA-OKL
USA-CHI
