USA-BOI,USA-ANC
USA-PHX
USA-DAL
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-JAF,USA-KAN,USA-OKL
USA-DEN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-ATL
USA-DET,USA-BOS
USA-HOU,USA-PHI
USA-COO
USA-LIN
USA-NEO,USA-NYM,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-CHI
USA-ORL
USA-SEA,USA-POR
USA-LAX,USA-SAN
