USA-PHX
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DET
USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE
USA-BOI,USA-ANC
USA-HOU,USA-SAN
USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-SFO,USA-KAN,USA-SEA,USA-POR
USA-COO,USA-OKL
USA-PIT
USA-ATL
USA-MIN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-ORL
USA-DEN
USA-CHI
USA-BOS
USA-MIW,USA-NEO,USA-BIR
USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-LIN
