USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA
USA-COO
USA-LAX,USA-SAN
USA-DAL
USA-DEN
USA-JCS,USA-LIN
USA-ORL
USA-SEA,USA-POR
USA-HOU,USA-PHI
USA-BOS
USA-SAT,USA-OKL,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-STL,USA-RAL,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-PIT
USA-ATL
USA-CHI
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-HON,USA-IOW,USA-ANC
USA-PHX
USA-BOI,USA-BIR
USA-NYM,USA-DET
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
