USA-LAX,USA-SAN
USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-LIN
USA-COO,USA-SEA,USA-POR
USA-HOU,USA-PHI
USA-DET,USA-BOS
USA-PIT
USA-DEN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-CHI
USA-PHX
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-ORL
USA-DAL
USA-ATL
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-BOI,USA-ANC
USA-MIW,USA-NEO,USA-OKL
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
