USA-DET
USA-DEN
USA-DAL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-ORL
USA-LIN
USA-ATL
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-BOI,USA-BIR
USA-PHX
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-COO,USA-SEA,USA-POR
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-HOU,USA-PHI,USA-SAN
USA-PIT
USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-JAF,USA-MAW,USA-DES,USA-REN,USA-LIT,USA-LEK
USA-MIW,USA-NEO,USA-OKL
USA-TLS,USA-ABU,USA-VIR,USA-LAX,USA-RON
USA-CHI
