USA-DAL
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-JCS,USA-IOW,USA-REN,USA-RAL,USA-VIR,USA-OMA
USA-CHI
USA-PHX
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-ATL
USA-LIN
USA-HON,USA-BOI,USA-ANC,USA-POR
USA-BOS
USA-HOU,USA-PHI
USA-NEO,USA-NYM,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-PIT
USA-ABU,USA-LAX,USA-SAN
USA-OKL
USA-ORL
USA-DET
USA-COO,USA-SEA,USA-SAT
