USA-BOI,USA-BIR
USA-PIT
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-NEO,USA-NYM,USA-SLT
USA-LIN
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-OKL
USA-BOS
USA-DAL
USA-ATL
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-LIT,USA-RON,USA-LEK
USA-HOU,USA-PHI
USA-JCS,USA-VIR,USA-OMA
USA-PHX
USA-HON,USA-IOW,USA-ANC,USA-POR
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-ORL
USA-DET
USA-CHI
USA-LAX,USA-SAN
USA-DEN,USA-COO,USA-SEA,USA-SAT
