USA-DEN
USA-PHX
USA-BOS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-CHI
USA-SFO,USA-MIN,USA-POR
USA-JCS,USA-ANC,USA-RAL,USA-VIR
USA-NEO,USA-HOU,USA-WAS,USA-PHI,USA-SLT
USA-ORL
USA-HON,USA-IOW,USA-LIN
USA-DAL
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-LIT,USA-RON,USA-LEK
USA-PIT
USA-ATL
USA-LAX,USA-SAN
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-SEA,USA-SAT
USA-BOI,USA-BIR
USA-NYM,USA-DET
USA-COO
USA-CRS,USA-AUT,USA-CTN,USA-NAS
