USA-COO,USA-SEA,USA-POR
USA-ABU,USA-LAX
USA-BOI,USA-BIR
USA-BOS
USA-ORL
USA-PIT
USA-DET
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-DEN
USA-DAL
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-PHI
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-HOU,USA-SAN
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-ANC,USA-REN,USA-VIR,USA-LIT
USA-NEO,USA-ATL
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-OKL,USA-LEK
USA-CHI
USA-PHX
