USA-BOI,USA-BIR
USA-SEA,USA-SAT,USA-LAX
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-BOS
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-NAS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-PHI
USA-DET
USA-DEN
USA-KAN,USA-COO
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-CHI
USA-MIW,USA-NEO,USA-OKL
USA-DAL
USA-HOU,USA-SAN
USA-JAF,USA-DES,USA-LEK
USA-JCS,USA-LIN
USA-HON,USA-IOW,USA-ANC,USA-POR
USA-PHX
USA-ORL
USA-ATL
