USA-CHI
USA-DET
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-LIN
USA-COO,USA-SEA,USA-SAT
USA-DAL
USA-OKL
USA-JAF,USA-KAN
USA-HOU,USA-PHI
USA-ORL
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-BOI,USA-ANC,USA-POR
USA-ATL
USA-MIW,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-NEO,USA-NYM,USA-SLT
USA-PHX,USA-AUT
USA-LAX,USA-SAN
USA-DEN
USA-BOS
