USA-CHI
USA-ANC,USA-ABU,USA-VIR
USA-LAX,USA-SAN
USA-ORL
USA-PHX
USA-BOI,USA-BIR
USA-COO,USA-SEA,USA-POR
USA-BOS
USA-PIT
USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-REN,USA-OMA,USA-LIT,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-ATL
USA-OKL
USA-DET
USA-DAL
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-MIW,USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-HOU,USA-PHI
USA-DEN
USA-NEO,USA-NYM,USA-SLT
