USA-DAL
USA-DEN
USA-BOI,USA-ANC,USA-POR
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-ATL
USA-CHI
USA-JAF,USA-KAN
USA-COO,USA-SEA,USA-SAT
USA-LIN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-LAX,USA-SAN
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-CIN,USA-TPA
USA-MIW,USA-NEO,USA-IDO,USA-OKL
USA-DES,USA-BIR,USA-LEK
USA-DET,USA-BOS
USA-PHX
USA-HOU,USA-PHI
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-ORL
USA-NYM,USA-SLT
