USA-DET
USA-ORL
USA-BOS
USA-PHX
USA-OKL
USA-NEO,USA-NYM,USA-SLT
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-LAX,USA-SAN
USA-SEA,USA-POR
USA-JAF,USA-KAN
USA-ATL
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-DEN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-HOU,USA-PHI
USA-DAL
USA-CHI
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-COO
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN
