USA-HOU,USA-PHI
USA-ATL
USA-SEA,USA-SAT
USA-DAL
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-JCS,USA-LIN
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-HON,USA-IOW,USA-ANC
USA-COO
USA-NEO,USA-SLT,USA-BOS
USA-CHI
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-PHX
USA-ORL
USA-BOI,USA-POR
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-DET
USA-DES,USA-BIR,USA-LEK
USA-PIT
