USA-BOI,USA-BIR
USA-PHX
USA-DEN
USA-CHI
USA-COO,USA-SEA,USA-POR
USA-DET
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DAL
USA-HOU,USA-PHI
USA-BOS
USA-JCS,USA-TLS,USA-DES,USA-VIR,USA-OMA,USA-LIN
USA-MIW,USA-JAF,USA-MAW,USA-LIT,USA-RON,USA-LEK
USA-PIT
USA-ATL
USA-ORL
USA-HON,USA-IOW,USA-ANC,USA-ABU,USA-REN
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-OKL
USA-NEO,USA-NYM,USA-SLT
