USA-DEN
USA-DET
USA-BOI,USA-ANC,USA-POR
USA-BOS
USA-ORL
USA-SEA,USA-SAT,USA-LAX
USA-MIW,USA-NEO,USA-OKL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DES,USA-BIR,USA-LEK
USA-PHX
USA-SFO,USA-MIN,USA-NYM
USA-HOU,USA-PHI,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-PIT,USA-WAS,USA-SLT
USA-JAF,USA-KAN
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-COO
USA-ATL
USA-CHI
USA-DAL
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
