USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-ATL
USA-DAL
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-NEO,USA-NYM,USA-SLT
USA-HOU,USA-PHI
USA-JCS,USA-CRS,USA-RAL
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-BIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-AUT,USA-CTN,USA-CUO,USA-CLE,USA-NAS
USA-DET
USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-POR
USA-ORL
USA-BOS
USA-DEN
USA-LAX,USA-SAN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-LIN
USA-PHX
USA-PIT
USA-ABU,USA-REN,USA-VIR
USA-CHI
