USA-ORL
USA-BOS
USA-JCS,USA-RAL
USA-LAX,USA-SAN
USA-HOU,USA-PHI,USA-ATL
USA-LIN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-PHX
USA-CHI
USA-DEN
USA-POR
USA-DET
USA-DAL
USA-COO,USA-SEA,USA-SAT
USA-BOI,USA-BIR
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-NEO,USA-NYM,USA-SLT
USA-HON,USA-IOW,USA-ANC
