USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-JAF,USA-KAN,USA-OKL
USA-DET
USA-PHX
USA-JCS,USA-LIN
USA-BOS
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-HON,USA-IOW,USA-ANC
USA-ATL
USA-COO,USA-SEA,USA-SAT
USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-DEN
USA-ORL
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-NEO,USA-NYM,USA-SLT
USA-HOU,USA-PHI
USA-CHI
USA-BOI,USA-POR
