USA-LAX,USA-SAN
USA-ATL
USA-JAF,USA-KAN,USA-OMA
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-SFO,USA-MIN,USA-WAS
USA-BOS
USA-DET
USA-HOU,USA-PHI
USA-CHI
USA-NEO,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-PIT
USA-PHX
USA-MIW,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-BOI,USA-ANC,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-DAL
USA-ORL
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-OKL
USA-NYM
