USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-BOS
USA-MAW,USA-TLS,USA-DES,USA-BIR,USA-LIT,USA-LEK
USA-LAX,USA-SAN
USA-PIT
USA-DEN
USA-DAL
USA-ATL
USA-ORL
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA
USA-BOI,USA-ANC,USA-POR
USA-JCS,USA-VIR,USA-OMA
USA-JAF,USA-ABU,USA-REN
USA-HON,USA-IOW,USA-LIN
USA-HOU,USA-PHI
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-CHI
USA-DET
USA-NYM,USA-SLT
USA-PHX
USA-CRS,USA-AUT,USA-CTN,USA-STL,USA-RAL,USA-CUO,USA-CLE,USA-RON,USA-NAS
