USA-ORL
USA-SFO,USA-MIN,USA-WAS
USA-DET,USA-BOS
USA-CHI
USA-DEN
USA-HOU,USA-PHI
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-LIT,USA-RON,USA-LEK
USA-NEO,USA-NYM,USA-SLT
USA-ATL
USA-BOI,USA-BIR
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-DAL
USA-COO,USA-SEA,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-PHX
USA-LAX,USA-SAN
USA-PIT
USA-CIN,USA-SAT,USA-IDO,USA-TPA
