USA-LIN
USA-HOU,USA-WAS,USA-PHI
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-ATL
USA-SFO,USA-SEA,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-COO,USA-OKL
USA-PHX
USA-MIW,USA-JAF,USA-MIN,USA-KAN
USA-CHI
USA-PIT
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-DET
USA-BOI,USA-BIR
USA-DAL
USA-ORL
USA-LAX,USA-SAN
USA-BOS
USA-DEN
USA-NEO,USA-NYM,USA-SLT
