USA-HOU,USA-PHI,USA-ATL
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-PHX
USA-DAL
USA-NEO,USA-NYM,USA-SLT
USA-DEN
USA-DET
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-CRS,USA-CTN
USA-PIT
USA-BOI,USA-ANC,USA-POR
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-CHI
USA-BOS
USA-LAX,USA-SAN
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-LIN
USA-ORL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-AUT,USA-CUO,USA-CLE,USA-RON,USA-NAS
